mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_1183,CC(O)(CO)C=O,3.92303,1.94016,1.81986,3.0185,53.44,-0.2529,-0.0296,0.2233,761.0814,0.121563,-382.793238,-382.78478,-382.783836,-382.82601,29.559
gdb_63812,CC1(O)CC2C3OC2C13,3.32583,1.40837,1.39035,3.0869,73.96,-0.2271,0.0641,0.2912,1018.737,0.159144,-422.968258,-422.960642,-422.959698,-422.999894,31.172
gdb_88111,CN1CC11COC=NC1,2.8541,1.46427,1.24798,2.7784,76.24,-0.2279,0.0265,0.2544,1075.5431,0.16057,-419.183124,-419.174949,-419.174005,-419.215837,31.141
gdb_45247,N=C1OC2CC3CN3C12,3.11548,1.74961,1.3955,3.131,72.1,-0.241,0.016,0.257,939.9058,0.138638,-417.981149,-417.974376,-417.973431,-418.012327,27.215
gdb_1287,C(CC(=O)N)CO,7.94292,1.05193,0.95777,4.6,57.85,-0.2448,0.0347,0.2796,1158.8734,0.135165,-362.944759,-362.935797,-362.934853,-362.979581,29.83
gdb_131665,c1c(onc1C=O)CO,5.22705,0.87138,0.75537,4.3679,66.88,-0.269,-0.0754,0.1936,1397.9516,0.099839,-473.811871,-473.803617,-473.802673,-473.845727,28.626
gdb_112382,COC1CC(=O)CC1=O,2.62596,1.3262,1.0374,1.8747,69.35,-0.2393,-0.0468,0.1925,1170.5619,0.133557,-458.995908,-458.986972,-458.986028,-459.030712,31.84
gdb_1844,C1C(=CC(=O)O1)N,6.8213,2.12796,1.63992,6.8715,54.55,-0.2355,-0.0125,0.2229,698.584,0.091567,-360.567154,-360.561074,-360.56013,-360.596845,22.7
gdb_66293,CC1(CCOC1=O)C=O,2.03081,1.71799,1.37833,3.1084,68.07,-0.2663,-0.0498,0.2165,1025.4881,0.135129,-459.023274,-459.014596,-459.013652,-459.057021,31.166
gdb_125266,Cc1cc(no1)OC=O,7.21628,0.82835,0.75396,4.781,67.28,-0.2703,-0.029,0.2413,1423.8654,0.099457,-473.843072,-473.834819,-473.833875,-473.876925,28.445
gdb_111077,CCN1C2CC1C(=O)C2,3.44073,1.12466,1.10234,3.4492,79.74,-0.2162,-0.0072,0.209,1218.2039,0.17148,-403.132189,-403.124013,-403.123069,-403.165026,31.969
gdb_78059,OC1C2N(C=N)C1C2=O,3.0157,1.41771,1.13888,4.1963,69.46,-0.2298,-0.0196,0.2102,1051.9062,0.111215,-453.8614,-453.853449,-453.852504,-453.89386,29.805
gdb_124229,CC(=N)OC1=NNC=N1,4.89182,1.01673,0.99872,1.0435,67.42,-0.2578,0.0087,0.2666,1217.4062,0.113886,-450.153695,-450.145623,-450.144679,-450.1875,28.576
gdb_49174,O=CC1=CC2CC2CC1,3.68921,1.15952,0.97645,3.8768,85.58,-0.2421,-0.0476,0.1945,1223.1801,0.161264,-385.917045,-385.909339,-385.908395,-385.949237,30.376
gdb_94824,CC1OCC2(CN2)C=C1,3.81965,1.16294,1.02158,1.6333,82.93,-0.2381,0.0134,0.2515,1234.5557,0.171877,-403.129056,-403.120797,-403.119853,-403.161774,32.482
gdb_126329,CCc1c[nH]nc1C#N,1.97279,1.75344,0.99322,6.2308,77.17,-0.2622,-0.0275,0.2347,1165.7132,0.126377,-396.974364,-396.966077,-396.965133,-397.008001,29.962
gdb_130579,c1nnnn1C(=O)C#N,3.8393,1.33967,0.99313,2.9476,60.03,-0.3286,-0.1347,0.1938,1039.6996,0.05439,-463.769844,-463.762855,-463.76191,-463.802154,23.729
gdb_3468,CC1C2CC1OC2,5.0394,2.41485,2.38201,1.7102,63.33,-0.2323,0.0939,0.3262,666.3382,0.150345,-309.695312,-309.68929,-309.688346,-309.724767,24.105
gdb_83214,CN1C2COC(C#C)C12,2.72813,1.5292,1.27913,0.8112,77.42,-0.2243,0.0317,0.256,1046.722,0.147068,-401.876082,-401.867752,-401.866808,-401.908779,31.812
gdb_78394,CC1C2C3C(N12)C3(C)C,3.65101,1.22734,1.0785,1.5317,86.87,-0.223,0.0935,0.3165,1231.024,0.193374,-367.157431,-367.148426,-367.147482,-367.190326,35.498
gdb_26701,Cc1c(c(oc1O)O)N,2.26247,1.62782,0.9564,0.7302,68.64,-0.1703,0.0512,0.2214,1170.1116,0.12243,-475.042826,-475.033094,-475.03215,-475.077197,34.703
gdb_75129,C1C(=O)OCOC(=N1)N,3.30784,1.34036,1.05563,3.8274,63.63,-0.2421,0.001,0.2432,1091.2409,0.114197,-491.121482,-491.113666,-491.112722,-491.154123,29.165
gdb_59895,CC(C)CC(=O)CC#N,4.599,0.68861,0.65073,5.5838,80.62,-0.2702,-0.0345,0.2357,1757.7014,0.167621,-403.19175,-403.181126,-403.180182,-403.228891,37.094
gdb_37302,C1C2C1C1C=CC3C2N13,2.92153,2.14409,1.80492,1.6399,77.28,-0.2071,0.007,0.214,838.8131,0.151736,-364.770185,-364.764226,-364.763282,-364.800071,26.212
gdb_31318,C#Cc1c(nco1)CO,2.21164,1.76166,0.98935,1.6909,74.04,-0.2351,-0.0342,0.2009,1108.0297,0.100259,-436.676931,-436.668686,-436.667742,-436.710513,29.667
gdb_115237,OCC1CCC(=O)OC1,3.94393,0.95761,0.80674,5.6806,72.08,-0.2555,0.0151,0.2707,1388.182,0.15997,-460.202528,-460.19366,-460.192716,-460.236561,32.501
gdb_107870,OCC12OC3C1C(=O)C23,3.08627,1.41114,1.15583,2.1199,64.88,-0.2387,-0.0098,0.2289,1040.7435,0.111124,-457.674883,-457.667371,-457.666427,-457.70723,28.547
gdb_130375,C(=Nc1c(n[nH]n1)N)N,3.52485,1.09575,0.83848,2.8471,76.98,-0.1865,-0.0071,0.1794,1295.2013,0.115102,-446.317407,-446.308801,-446.307856,-446.350889,31.336
gdb_98855,COC(=O)C1NCC1O,3.16554,1.13691,0.96289,2.5486,68.69,-0.2282,-0.0044,0.2238,1263.3489,0.147328,-476.219893,-476.210678,-476.209733,-476.255091,32.65
gdb_95561,CC1CCC=CCC1=O,2.32958,1.56503,1.04528,2.7178,83.81,-0.2269,-0.0114,0.2155,1198.8439,0.183392,-387.126775,-387.117942,-387.116998,-387.160238,33.888
gdb_79184,CC1C2C3OC(C23)C1C,2.52227,1.84849,1.46707,1.6409,79.9,-0.2218,0.0774,0.2992,1002.6261,0.183862,-387.061697,-387.053894,-387.05295,-387.093481,31.943
gdb_86550,OC1CC(C1)C1(O)CC1,3.95252,0.9447,0.93438,2.6442,78.71,-0.2374,0.0617,0.2991,1354.9242,0.180699,-424.191823,-424.18221,-424.181266,-424.226477,36.361
gdb_83091,OC1C2CC=CC1C2O,2.4034,1.65519,1.45935,2.5234,75.08,-0.2369,0.0065,0.2434,999.2803,0.161132,-423.016893,-423.009269,-423.008325,-423.048334,31.464
gdb_47135,C1C=C(NC(=O)N1)C#N,3.23738,1.25346,0.91171,4.1644,71.76,-0.2411,-0.0527,0.1884,1176.3052,0.103194,-432.933186,-432.925257,-432.924313,-432.966331,28.615
gdb_96558,CC1OCCOCC1O,2.26186,1.61253,1.15873,2.6542,74.8,-0.2461,0.0692,0.3153,1140.2635,0.183114,-461.354969,-461.346116,-461.345172,-461.38803,34.28
gdb_2649,CC#CCNC=O,10.51744,0.95471,0.94442,4.0123,64.08,-0.2463,0.0259,0.2722,1211.6283,0.111948,-324.577279,-324.568791,-324.567847,-324.612808,27.213
gdb_11453,CCC1CCC(C)=C1,3.84248,1.2456,0.9973,0.2557,85.55,-0.224,0.0337,0.2577,1262.3708,0.20051,-313.100727,-313.091777,-313.090833,-313.1342,33.474
gdb_77210,OC1C(NC1C#C)C#C,3.78335,1.04202,0.90373,1.417,78.68,-0.24,0.0116,0.2516,1266.4869,0.12167,-400.644409,-400.635155,-400.634211,-400.678983,34.041
gdb_129170,N=C1NC2=C(N1)N=NO2,3.17231,1.36223,0.95451,1.6843,73.55,-0.2145,-0.0844,0.1301,1103.6685,0.078575,-464.999267,-464.991677,-464.990733,-465.03164,27.697
gdb_23259,ON=C1C2CC2OC1=O,3.02681,1.55004,1.10498,3.9659,67.34,-0.2595,-0.061,0.1985,1033.5607,0.100993,-473.795273,-473.788022,-473.787078,-473.827131,27.713
gdb_86047,CC1CC(C)(CC=O)O1,3.02652,0.99384,0.87681,3.6329,79.45,-0.2422,-0.0204,0.2218,1407.2117,0.179303,-424.23331,-424.223292,-424.222348,-424.269026,36.356
gdb_7511,CC1(CC#C)CC1O,4.79992,1.17167,1.10444,1.4502,73.53,-0.2549,0.0522,0.3071,1114.0697,0.15088,-347.754549,-347.745491,-347.744547,-347.787827,33.808
gdb_41703,C1OC2CC3C=CC2C13,3.34932,1.76951,1.74777,1.4049,77.29,-0.2242,0.0142,0.2384,878.7351,0.16413,-385.897952,-385.891945,-385.891001,-385.927869,26.569
gdb_32524,CCc1cocc1CO,1.99383,1.43842,0.89102,2.2742,77.75,-0.2126,0.029,0.2416,1316.9658,0.158847,-423.05112,-423.041753,-423.040809,-423.086021,33.732
gdb_71351,OC12CN3C1C1(CC1)C23,3.2872,1.55382,1.23263,1.7,77.47,-0.2381,0.0714,0.3096,1035.6579,0.147306,-401.826346,-401.818874,-401.81793,-401.857907,30.299
gdb_57347,CC(C)(C)N(C=N)C=O,1.99516,1.48858,1.05357,2.1097,82.1,-0.2531,-0.02,0.2331,1237.203,0.181281,-420.439285,-420.429286,-420.428342,-420.473508,37.772
gdb_28914,c1c(c(c(cn1)O)O)N,2.35947,1.85488,1.04384,3.8821,71.04,-0.2215,-0.0027,0.2188,1064.7948,0.114566,-454.002562,-453.994592,-453.993648,-454.03527,30.102
gdb_133499,CC(=O)C(O)C(F)(F)F,2.38868,1.39821,1.09644,2.6928,51.27,-0.2889,-0.0471,0.2417,1073.7342,0.094548,-605.349594,-605.340535,-605.339591,-605.384286,31.772
gdb_36947,C(C1CCC1)C1CCO1,4.33255,0.84501,0.75258,1.631,86.39,-0.2403,0.0862,0.3264,1585.0342,0.206598,-388.263711,-388.254598,-388.253654,-388.298794,33.803
gdb_126386,CCc1[nH]c(=O)n(n1)C,3.43509,1.10107,0.88824,3.1658,75.95,-0.2116,0.0212,0.2328,1335.9006,0.148305,-435.326121,-435.316881,-435.315937,-435.360726,32.794
gdb_24308,C1C2COC3=C2N1C=C3,3.06628,2.25483,1.48802,2.4173,74.13,-0.195,-0.0165,0.1785,854.0581,0.127265,-400.680551,-400.674335,-400.673391,-400.710969,25.41
gdb_1071,COc1ccoc1,7.59039,2.03649,1.62227,0.9543,55.31,-0.2094,0.0248,0.2342,727.1103,0.102566,-344.463291,-344.457126,-344.456181,-344.493322,22.554
gdb_132895,c1c(coc(=O)c1F)F,3.07757,1.36439,0.9453,3.4281,57.98,-0.2427,-0.0734,0.1693,1063.6106,0.064134,-541.788499,-541.781686,-541.780742,-541.820062,25.418
gdb_8894,CNC(=O)C(O)CO,2.53124,1.73334,1.08088,3.4859,61.91,-0.2523,0.0227,0.275,1076.5582,0.14141,-438.164538,-438.155401,-438.154457,-438.198696,32.15
gdb_80179,CC1C2NC(=O)C(O)C12,2.34521,1.67585,1.42713,3.2887,71.07,-0.2416,0.0132,0.2548,1000.7685,0.149074,-439.11243,-439.104281,-439.103337,-439.144945,31.512
gdb_39101,C1C2OCC11CCOC21,3.42077,1.65898,1.42938,2.3032,73.69,-0.2342,0.0802,0.3145,954.0746,0.162418,-422.992465,-422.985693,-422.984749,-423.023696,27.81
gdb_18584,OC1CC2OC=NC12,3.83957,2.15035,1.70626,1.9502,59.84,-0.252,0.0017,0.2538,764.7843,0.120886,-399.79688,-399.790544,-399.7896,-399.827436,24.614
gdb_9591,CC1(NC1C=O)C#C,3.81765,1.28805,1.19542,2.7937,70.49,-0.2481,-0.0389,0.2092,1036.9637,0.115927,-362.611795,-362.603358,-362.602414,-362.644685,30.452
gdb_67522,CC12C3CC3C1OC2=N,2.4796,1.81885,1.49145,2.7306,75.88,-0.2555,0.0262,0.2817,969.043,0.148097,-401.909907,-401.902307,-401.901363,-401.941612,30.283
gdb_64356,CC1(COCC1(C)C)C,1.79001,1.74157,1.4263,1.6695,86.95,-0.2376,0.0667,0.3043,1151.5753,0.227834,-389.506351,-389.496081,-389.495137,-389.540639,39.97
gdb_46540,O=C1CC2(CCO2)CO1,4.00996,1.15781,1.07547,5.427,67.91,-0.2569,0.0115,0.2684,1141.4943,0.136513,-458.99113,-458.983411,-458.982467,-459.024108,28.741
gdb_111757,CCC1C2COC12CO,2.39548,1.2263,0.95905,1.179,78.6,-0.2326,0.0675,0.3001,1323.3115,0.181399,-424.179223,-424.169654,-424.16871,-424.214117,35.298
